row_id,month,beginning_cash,campaign_receipts,debt_draws,project_spending,financing_costs,ending_cash,loc_balance,warning,value_class
R001,1,2340000.0,150000,0.0,300000,0.0,2190000.0,0.0,,SYNTHETIC
R002,2,2190000.0,150000,0.0,350000,0.0,1990000.0,0.0,,SYNTHETIC
R003,3,1990000.0,200000,0.0,400000,0.0,1790000.0,0.0,,SYNTHETIC
R004,4,1790000.0,200000,0.0,450000,0.0,1540000.0,0.0,,SYNTHETIC
R005,5,1540000.0,250000,0.0,500000,0.0,1290000.0,0.0,,SYNTHETIC
R006,6,1290000.0,250000,0.0,500000,0.0,1040000.0,0.0,,SYNTHETIC
R007,7,1040000.0,300000,0.0,500000,0.0,840000.0,0.0,,SYNTHETIC
R008,8,840000.0,300000,0.0,500000,0.0,640000.0,0.0,,SYNTHETIC
R009,9,640000.0,300000,0.0,450000,0.0,490000.0,0.0,,SYNTHETIC
R010,10,490000.0,350000,0.0,450000,0.0,390000.0,0.0,,SYNTHETIC
R011,11,390000.0,350000,0.0,400000,0.0,340000.0,0.0,,SYNTHETIC
R012,12,340000.0,350000,0.0,350000,0.0,340000.0,0.0,,SYNTHETIC
