flag_id,color,area,headline,detail,recommended_action,source_tab,source_file,value_class
FLAG-001,RED,Options,PROJ-004 Retire $45M of long-term debt: REJECT,"REJECT at the equity hurdle by construction - the wrong ruler for a risk-free use of cash: its return IS the after-tax cost of debt, the floor risky options must beat. Weigh it on safety and debt headroom instead",Resolve before committing capital.,5 · Options,client_fs_projects.csv,MODEL_OUTPUT
FLAG-002,RED,Options,PROJ-005 Acquire regional competitor: REJECT,"REJECT AT THE ASKED PRICE - for an acquisition the amount IS the price, and this deal only creates value below ~$129.5M (where NPV crosses zero). The decision: bid up to that ceiling or walk away - see the sizing grid for the price ladder",Resolve before committing capital.,5 · Options,client_fs_projects.csv,MODEL_OUTPUT
FLAG-003,YELLOW,Controls,REV-001 CONTROL_EXCEPTION (MEDIUM),Cash moved with no cash-flow statement on file for this entity/period - the walk cannot be verified.,Request the cash flow statement for ENT_GMBH FY2025 from the client.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-004,YELLOW,Controls,REV-002 CONTROL_EXCEPTION (MEDIUM),"OCI activity is reported but no AOCI balance-sheet account is mapped, so the AOCI roll cannot be tested.",Map an 'aoci' account in account_mapping.csv and request the AOCI balance from the source.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-005,YELLOW,Controls,REV-003 CONTROL_EXCEPTION (MEDIUM),Debt balance moved with no issuance/repayment activity rows to explain it.,Request the debt schedule / CFS financing section for ENT_GMBH FY2025.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-006,YELLOW,Controls,REV-004 CONTROL_EXCEPTION (MEDIUM),"Source-vs-engine FX variance equals the CTA - the source's documented closing-rate shortcut on equity, not a data error (docs/FX_AND_CONSOLIDATION.md #4).",Reviewer sign-off; request a historical-rate equity schedule from the source system to retire the shortcut.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-007,YELLOW,Controls,REV-005 CONTROL_EXCEPTION (MEDIUM),"Source-vs-engine FX variance equals the CTA - the source's documented closing-rate shortcut on equity, not a data error (docs/FX_AND_CONSOLIDATION.md #4).",Reviewer sign-off; request a historical-rate equity schedule from the source system to retire the shortcut.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-008,YELLOW,Controls,REV-006 OUTLIER_FLAG (MEDIUM),"Margin movement coincides with TXN-001 - could be mix shift from acquired operations, early synergies, or unrelated operating change.",Decompose the margin bridge (price / mix / cost / acquired operations) before crediting synergies.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-009,YELLOW,Controls,REV-007 OUTLIER_FLAG (MEDIUM),"Margin movement coincides with TXN-001 - could be mix shift from acquired operations, early synergies, or unrelated operating change.",Decompose the margin bridge (price / mix / cost / acquired operations) before crediting synergies.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
FLAG-010,YELLOW,Controls,REV-008 OUTLIER_FLAG (MEDIUM),"New material activity with no prior period MAY relate to TXN-001 closing in the same period (see event narrative). Causation is not concluded. Restructuring costs from the event are already normalized by ADJ-001A, ADJ-001B.",Confirm the organic vs acquired split of FY growth against the acquisition agreement before using growth rates in the forecast.,1 · Client Financials,client_fs_review.csv,MODEL_OUTPUT
