company_id,period_id,entity_id,standard_account_id,standard_account_name,statement_type,statement_section,pre_elimination_amount,intercompany_elimination,other_consolidation_adjustment,fx_translation_adjustment,consolidated_amount,reporting_currency,scenario,control_status,control_variance
COMP001,FY2024,CONSOLIDATED,accounts_receivable,Accounts Receivable,BS,current_assets,148.6,0.0,0.0,0.0,148.6,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,cash,Cash and Cash Equivalents,BS,current_assets,152.4,0.0,0.0,0.0,152.4,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,inventory,Inventory,BS,current_assets,97.0,0.0,0.0,0.0,97.0,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,accounts_payable,Accounts Payable,BS,current_liabilities,112.4,0.0,0.0,0.0,112.4,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,common_stock,Common Stock,BS,equity,280.0,0.0,0.0,0.0,280.0,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,cta_aoci,Cumulative Translation Adjustment (AOCI),BS,equity,0.0,0.0,0.0,7.850000000000001,7.850000000000001,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,retained_earnings,Retained Earnings,BS,equity,206.35,0.0,0.0,0.0,206.35,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,ppe_net,"Property, Plant & Equipment, Net",BS,noncurrent_assets,598.8,0.0,0.0,0.0,598.8,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,long_term_debt,Long-Term Debt,BS,noncurrent_liabilities,390.2,0.0,0.0,0.0,390.2,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,cogs,Cost of Goods Sold,IS,cogs,-728.5,0.0,0.0,0.0,-728.5,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,depreciation_amortization,Depreciation & Amortization,IS,depreciation_amortization,-59.7,0.0,0.0,0.0,-59.7,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,interest_expense,Interest Expense,IS,interest,-28.3,0.0,0.0,0.0,-28.3,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,opex,Operating Expenses,IS,operating_expenses,-197.75,0.0,0.0,0.0,-197.75,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,revenue,Revenue,IS,revenue,1194.0,0.0,0.0,0.0,1194.0,USD,ACTUAL,PASS,0.0
COMP001,FY2024,CONSOLIDATED,income_tax_expense,Income Tax Expense,IS,tax,-44.4,0.0,0.0,0.0,-44.4,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,accounts_receivable,Accounts Receivable,BS,current_assets,175.0,-10.0,0.0,0.0,165.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cash,Cash and Cash Equivalents,BS,current_assets,194.0,0.0,0.0,0.0,194.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,inventory,Inventory,BS,current_assets,113.0,0.0,0.0,0.0,113.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,accounts_payable,Accounts Payable,BS,current_liabilities,128.5,-10.0,0.0,0.0,118.5,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,common_stock,Common Stock,BS,equity,280.0,0.0,0.0,0.0,280.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,cta_aoci,Cumulative Translation Adjustment (AOCI),BS,equity,0.0,0.0,0.0,10.75,10.75,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,retained_earnings,Retained Earnings,BS,equity,328.75,0.0,0.0,0.0,328.75,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,ppe_net,"Property, Plant & Equipment, Net",BS,noncurrent_assets,632.0,0.0,0.0,0.0,632.0,USD,ACTUAL,PASS,0.0
COMP001,FY2025,CONSOLIDATED,long_term_debt,Long-Term Debt,BS,noncurrent_liabilities,366.0,0.0,0.0,0.0,366.0,USD,ACTUAL,PASS,0.0
