row_id,statement,section,line_label,fy2021,fy2022,fy2023,fy2024,fy2025,note,value_class
R001,STATEMENT OF ACTIVITIES,REVENUE,Contributions & grants,2913151,8368507,3098394,4232181,5067036,Part I line 8,PUBLIC_RESEARCH
R002,STATEMENT OF ACTIVITIES,REVENUE,Program service revenue,4495449,6180906,6713838,7750916,8506012,Part I line 9,PUBLIC_RESEARCH
R003,STATEMENT OF ACTIVITIES,REVENUE,Investment income,332772,479564,274836,510482,535465,Part I line 10,PUBLIC_RESEARCH
R004,STATEMENT OF ACTIVITIES,REVENUE,Other revenue,50722,71136,85022,111180,99642,Part I line 11,PUBLIC_RESEARCH
R005,STATEMENT OF ACTIVITIES,REVENUE,TOTAL REVENUE,7792094,15100113,10172090,12604759,14208155,Part I line 12,PUBLIC_RESEARCH
R006,STATEMENT OF ACTIVITIES,EXPENSES,Program services,6181405,8275292,9391605,10527119,11100788,Part IX line 25 col B,PUBLIC_RESEARCH
R007,STATEMENT OF ACTIVITIES,EXPENSES,Management & general,1525285,2198475,1395528,1604877,1795483,Part IX line 25 col C,PUBLIC_RESEARCH
R008,STATEMENT OF ACTIVITIES,EXPENSES,Fundraising,333191,378826,482378,403094,643032,Part IX line 25 col D,PUBLIC_RESEARCH
R009,STATEMENT OF ACTIVITIES,EXPENSES,TOTAL EXPENSES,8039881,10852593,11269511,12535090,13539303,Part I line 18,PUBLIC_RESEARCH
R010,STATEMENT OF ACTIVITIES,RESULT,CHANGE IN NET ASSETS (surplus/deficit),-247787,4247520,-1097421,69669,668852,Part I line 19,PUBLIC_RESEARCH
R011,STATEMENT OF FINANCIAL POSITION,ASSETS,Cash (non-interest-bearing),3569809,3534430,3248998,3110368,515092,Part X line 1,PUBLIC_RESEARCH
R012,STATEMENT OF FINANCIAL POSITION,ASSETS,Savings & temporary investments,161469,1981083,126733,112445,0,Part X line 2,PUBLIC_RESEARCH
R013,STATEMENT OF FINANCIAL POSITION,ASSETS,Pledges & grants receivable,350571,452465,795668,587384,542806,Part X line 3,PUBLIC_RESEARCH
R014,STATEMENT OF FINANCIAL POSITION,ASSETS,Investments (publicly traded),13044644,11541041,13044016,14532110,18951917,Part X line 11,PUBLIC_RESEARCH
R015,STATEMENT OF FINANCIAL POSITION,ASSETS,"Other assets (land, buildings, receivables - derived)",2178283,2481603,2507153,2536969,2509373,DERIVED: line 16 minus the lines above,PUBLIC_RESEARCH
R016,STATEMENT OF FINANCIAL POSITION,ASSETS,TOTAL ASSETS,19304776,19990622,19722568,20879276,22519188,Part X line 16,PUBLIC_RESEARCH
R017,STATEMENT OF FINANCIAL POSITION,LIABILITIES,TOTAL LIABILITIES,4051348,2512807,2627509,4023584,4803137,Part X line 26,PUBLIC_RESEARCH
R018,STATEMENT OF FINANCIAL POSITION,NET ASSETS,Without donor restrictions,4454045,6737094,6549995,7077549,5761112,Part X line 27,PUBLIC_RESEARCH
R019,STATEMENT OF FINANCIAL POSITION,NET ASSETS,With donor restrictions,10799383,10740721,10545064,9778143,11954939,Part X line 28,PUBLIC_RESEARCH
R020,STATEMENT OF FINANCIAL POSITION,NET ASSETS,TOTAL NET ASSETS,15253428,17477815,17095059,16855692,17716051,Part X line 32 / Part I line 22,PUBLIC_RESEARCH
