row_id,section,line_item,amount,the_math,source_note,url,basis,value_class
R001,CAPEX,Construction (3-4 lane institutional),350000.0,"midpoint of the researched 200,000 - 500,000+ range",Angi 2026 lap-pool cost guide via web search,https://www.angi.com/articles/lap-pool-cost.htm,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R002,CAPEX,Contingency,52500,"350,000 x 15% (sector practice 10-20%)",Pool Cost Estimator 2026 lap-pool guide via web search,https://poolcostestimator.com/cost-guide/lap-pool-costs/,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R003,CAPEX,TOTAL PROJECT COST,402500,"350,000 x 1.15 = 402,500 - the 250,000 covers 62%; the remaining 152,500 needs campaign / restricted gifts / borrowing at 7.00%",derived,,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R004,REVENUE,Group swim lessons,36000.0,300 enrollments x 120 per 8-session package (8 x 15 community low-end),Lessons.com 2026 swim-lesson cost survey via web search,https://lessons.com/costs/swimming-lessons-cost,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R005,REVENUE,Membership / rental uplift,,"RESEARCH REQUIRED - needs JSV's dues schedule, retention data and demand evidence; the decisive number",Not researchable from outside - JSV's own dues and retention data,,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R006,OPERATING,Incremental lifeguards,45011,"2,080 hrs (one added post, 40 hrs/wk) x 21.64 CA mean wage (BLS May 2024)",BLS TED: lifeguard hourly mean wages by state (May 2024) via web search,https://www.bls.gov/opub/ted/2025/lifeguards-had-hourly-mean-wages-over-21-00-in-two-states-and-the-district-of-columbia-in-2024.htm,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R007,OPERATING,"Heating, electricity & water",20000.0,"placeholder scaled well below the researched large-facility figure (41,209 gas + 16,400 electric + 22,500 water)",Pool Founder 2026 commercial pool operating-cost breakdown via web search,https://www.poolfounder.com/commercial-pool-service-pricing,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R008,OPERATING,Service contract,8000.0,"inside the researched 3,000 - 20,000 commercial range",Blue Pool Water 2026 commercial service pricing via web search,https://bluepoolwater.com/blog/commercial-pool-service-costs-texas/,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R009,OPERATING,Chemicals,5000.0,researched commercial figure,Pool Founder 2026 operating-cost breakdown via web search,https://www.poolfounder.com/commercial-pool-service-pricing,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R010,OPERATING,TOTAL OPERATING (incremental),78011.0,"45,011 + 20,000 + 8,000 + 5,000 = 78,011 per year",derived,,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R011,RESULT,Year-1 net on lessons alone,-42011.0,"36,000 - 78,011 = (42,011) BEFORE any membership uplift",derived,,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R012,RESULT,Return vs the 5.00% hurdle,,"(42,011) / 402,500 = -10.44% - MISSES on financials alone; the case must come from membership uplift + the board's mission score",derived,,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
R013,RESULT,Breakeven / hurdle uplift needed,,"breakeven needs 42,011/yr of new membership or rental revenue; CLEARING the hurdle needs 42,011 + 20,125 = 62,136/yr",derived,,RESEARCHED TYPICAL (MEDIUM) - NOT A JSV QUOTE,PUBLIC_RESEARCH
