project_id,assumption_code,value,unit,rationale
PROJ-001,INCR_REVENUE_Y1,120.0,USD_M,Contracted anchor tenants plus the ramp of regional accounts in year one.
PROJ-001,INCR_REVENUE_GROWTH_PCT,5.0,PCT,Regional demand growth per the market study; deliberately below company growth.
PROJ-001,INCR_EBITDA_MARGIN_PCT,28.0,PCT,Warehouse-level contribution margin after freight savings.
PROJ-001,MAINT_CAPEX_PCT_REV,3.0,PCT,Racking and rolling-stock replacement cycle.
PROJ-001,NWC_PCT_REV,12.0,PCT,Inventory and receivables to support incremental volume; recovered at end of life.
PROJ-002,COST_SAVINGS_Y1,14.0,USD_M,Two shifts of pick labor plus error-rework elimination at current volumes.
PROJ-002,COST_SAVINGS_GROWTH_PCT,2.0,PCT,Savings scale with modest volume growth.
PROJ-003,INCR_REVENUE_Y1,75.0,USD_M,Pilot commitments plus channel fill in year one.
PROJ-003,INCR_REVENUE_GROWTH_PCT,10.0,PCT,Category growing faster than the core; share ramp.
PROJ-003,INCR_EBITDA_MARGIN_PCT,32.0,PCT,Premium price point; shared plant absorbs overhead.
PROJ-003,MAINT_CAPEX_PCT_REV,4.0,PCT,Tooling refresh cycle.
PROJ-003,NWC_PCT_REV,10.0,PCT,Lighter inventory than the core line; recovered at end of life.
PROJ-005,ACQUIRED_EBITDA_Y1,30.0,USD_M,Target's current EBITDA per its reviewed financials.
PROJ-005,ACQUIRED_EBITDA_GROWTH_PCT,5.0,PCT,Target grows with its regional market.
PROJ-005,SYNERGY_Y1,5.0,USD_M,Shared distribution and procurement; ramps as integration lands.
PROJ-005,SYNERGY_GROWTH_PCT,10.0,PCT,Synergies compound as systems merge.
PROJ-005,INTEGRATION_COST_Y1,8.0,USD_M,One-time systems and severance cost.
