finding_id,initiative,finding,url,confidence,source,date_verified,value_class
F1,County-wide identity,First study designed to analyze the Jewish community across ALL of Santa Clara County - deliberately transcending the traditional San Jose vs Palo Alto/Los Altos divide to set the foundation for collective strategic initiatives,https://www.jvalley.org/the-2024-santa-clara-county-jewish-community-study/,HIGH,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F2,Program relevance & time,The top two barriers to communal involvement were LACK OF TIME and LACK OF INTEREST IN EXISTING PROGRAMS,https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F3,Inclusion & belonging,Jews of color: one experience of feeling unwelcome deters participation; interfaith/mixed-heritage individuals often feel 'not Jewish enough'; LGBTQ individuals feel excluded in more-traditional settings,https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F4,Economic accessibility,Class differences deter participation - some people feel out of place in upscale facilities,https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F5,Economic accessibility,57% of respondents who faced economic hardship in the past three years said financial aid would enable more participation in Jewish organizations and programs,https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F6,Mental health,About 40% of respondents reported mental health needs - and just 5% turn to the Jewish community for support,https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F7,Human services,"Exposed human service needs: financial planning, employment assistance, caregiving support, disability-focused services, affordable housing, and transportation for older adults",https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F8,Senior engagement,"Adults 65+ feel more connected to the Jewish community and are more likely to donate and to serve on boards, committees and task forces than younger counterparts",https://www.jvalley.org/the-2024-santa-clara-county-jewish-community-study/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F9,Population context,"The county's Jewish population was estimated around 73,000 in the 2017 Bay Area study by the SF-based Jewish Community Federation - the largest among Bay Area counties (2017 figure, NOT from the 2024 study)",https://jweekly.com/2024/08/14/study-of-jewish-community-in-silicon-valley-details-barriers-to-participation/,MEDIUM,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
F10,Full report,"RESEARCH REQUIRED - the full final report PDF carries the complete population, household and needs detail; read it before board use",https://www.jvalley.org/wp-content/uploads/2024/05/Community-Study-Final-Report.pdf,HIGH,"2024 Santa Clara County Jewish Community Study (funded by Chai House, commissioned by JSV). Verified via web search 2026-09-05; primary fetch blocked from build environment - read the linked source before quoting",2026-09-05,PUBLIC_RESEARCH
