area,ratio,formula,source_type,form_990_ref,worked_example,how_to_use,value_class
Annual campaign,Fundraising Efficiency,Fundraising expense / Total contributions,FORM 990,Part IX line 25 col D / Part VIII line 1h,ILLUSTRATION: $300K fundraising expense / $2.0M contributions = 15c per $1,Under ~20c per $1 raised is generally healthy; rising trend = campaign getting more expensive,PUBLIC_RESEARCH
Annual campaign,Cost per $ Raised,"Same inputs, expressed per dollar",FORM 990,Part IX line 25 col D / Part VIII line 1h,ILLUSTRATION: 15c means 85c of each donated dollar reaches the organization,"Board-friendly restatement of efficiency; compare year over year, not to a single-year target",PUBLIC_RESEARCH
Annual campaign,Campaign Goal Attainment %,Amount raised / campaign goal,INTERNAL DATA,,MODULE SYNTHETIC: settings org campaign revenue $800K vs a goal you set,Not on the 990 - needs the campaign plan; track weekly during the campaign,ASSUMPTION
Annual campaign,YoY Donor Growth,This year's donors / last year's donors - 1,INTERNAL DATA,,MODULE SYNTHETIC: donor cohorts table (tab 13 model 9 trains on it),"Donor COUNT growth matters separately from dollars - fewer, larger donors = concentration risk",ASSUMPTION
Grants,Grant Dependency %,Grant revenue / total revenue,FORM 990,Part VIII line 1e (gov grants) + grant portion of 1f / Part VIII line 12,MODULE: P7 Family Services grant dependency 51% on tab 10,Above ~35% = one funder class controls survival; pair with renewal probability,PUBLIC_RESEARCH
Grants,Grant Utilization %,Grant funds spent / grant funds awarded,INTERNAL DATA,,ILLUSTRATION: $180K spent of $200K awarded = 90% utilized,Low utilization risks givebacks and weakens renewal cases,ASSUMPTION
Grants,Restricted vs Unrestricted Funding,Net assets with donor restrictions vs without,FORM 990,Part X line 28 vs line 27,JSV PUBLIC FY2023: net assets $17.1M total (27/28 split in the filing - see tab 11 links),"High restricted share = big balance sheet, little spendable flexibility",PUBLIC_RESEARCH
Grants,Grant Coverage of Program Cost,Grants / program expenses,990 PARTIAL,Grants / Part IX line 25 col B,MODULE: P3 Seniors $200K grant / $500K cost = 40% coverage,Shows which programs the grant portfolio actually carries,PUBLIC_RESEARCH
Major gifts,Major Donor Concentration,Largest donor(s) / total contributions,990 PARTIAL,"Schedule B (filed, donor names not public) - use internal donor data",MODULE SYNTHETIC: top-donor dependency per program on tab 10,Any single donor above ~10-15% of funding deserves a board conversation,PUBLIC_RESEARCH
Major gifts,Pledge Collection Rate,Pledges collected / pledges made,990 PARTIAL,Part X line 3 (pledges receivable) shows the outstanding stock,MODULE: $400K collected / $1.2M pledged = 33% (tab 11),Compare the receivable balance to annual collections - a growing receivable is a warning,PUBLIC_RESEARCH
Major gifts,Multi-year Cash Forecast,Expected cash by year from committed gifts,MODULE,,MODULE: pledge expected cash $675K on tab 11,"Signed pledges discounted by collection probability, never face value",ASSUMPTION
Restricted gifts,Restricted NA / Total NA,Restricted net assets / total net assets,FORM 990,Part X line 28 / line 33,ILLUSTRATION: $2.34M campaign restricted within FY2023 net assets $17.1M = ~14%,The share of the balance sheet donors have already spoken for,PUBLIC_RESEARCH
Restricted gifts,Restricted Cash Coverage,Cash held for restrictions / restricted balances,INTERNAL DATA,,ILLUSTRATION: restricted cash $2.34M covering restricted commitments = 1.0x,Below 1.0x means restricted commitments are floating on unrestricted cash - a control failure,ASSUMPTION
