row_id,area,ceo_cco,coo,cfo,ratios,value_class
R001,Annual campaign,"Set campaign strategy, donor messaging and fundraising goals",Operational capacity to support campaign/events,"Budget campaign, forecast receipts and monitor collections",Fundraising Efficiency; Cost per $ Raised; Campaign Goal Attainment %; YoY donor growth,MANAGEMENT ASSUMPTION
R002,Grants,Identify opportunities and connect grants to mission/programs,Determine whether organization has staff/facilities to execute,"Build grant budget, track restrictions, cash timing and compliance",Grant Dependency %; Grant Utilization %; Restricted vs. Unrestricted Funding; Grant Coverage of Program Cost,MANAGEMENT ASSUMPTION
R003,Major gifts,Cultivate donors and communicate impact,Determine implementation requirements associated with gift,Model financial impact and appropriate fund structure,Major Donor Concentration; Restricted %; Pledge Collection Rate; Multi-year Cash Forecast,MANAGEMENT ASSUMPTION
R004,Restricted gifts,Ensure donor intent matches mission,Make sure operations spend funds according to intended program,"Track donor restrictions, releases and accounting",Restricted Net Assets / Total Net Assets; Restricted Cash Coverage; Release/Utilization Rate,MANAGEMENT ASSUMPTION
R005,Capital campaign,Establish vision and raise donor commitments,"Facilities, construction, technology, staffing and implementation planning","Sources & uses, cash-flow model, financing alternatives and scenarios",Pledge Coverage; Cash Collection Curve; Project Cost Variance; Funding Gap; Debt Service Coverage if financing used,MANAGEMENT ASSUMPTION
R006,Endowment,Develop donor opportunity and long-term mission case,Identify future operating needs that endowment may support,"Spending policy, liquidity, investment reporting and sustainability",Investment Return; Spending Rate; Total Return vs. Benchmark; Endowment / Annual Operating Expense,MANAGEMENT ASSUMPTION
R007,DAFs / community foundation,Build donor relationships and philanthropic strategy,Develop administrative processes necessary to operate programs,"Economics, accounting, investment structure and controls",AUM Growth; Contributions; Grants Distributed; Administrative Cost / AUM; Investment Return,MANAGEMENT ASSUMPTION
R008,Existing programs,CCO evaluates mission impact and community need,"Runs programs: staffing, scheduling, facilities, vendors, capacity and service delivery",Determine true program economics and financial sustainability,Program Expense Ratio; Cost per Participant; Revenue per Participant; Contribution Margin; Subsidy per Participant; Capacity Utilization,MANAGEMENT ASSUMPTION
R009,New programs,CCO identifies unmet community need,Determines what resources are actually required to launch and operate it,Build business case and scenarios,Break-even Participants; Fixed vs. Variable Cost; Contribution Margin; Cash Burn; Funding Requirement; 3-Year Sustainability,MANAGEMENT ASSUMPTION
R010,Membership,CEO/CCO consider community reach and engagement,"Member experience, facility capacity, staffing and retention execution",Analyze economics and forecast membership revenue,Member Retention %; Churn %; Revenue per Member; CAC if applicable; Lifetime Value; Membership Contribution Margin,MANAGEMENT ASSUMPTION
R011,Facilities,CEO sets strategic priorities,"COO owns utilization, maintenance, safety, vendors and capital requirements","Capital planning, lease/buy analysis, reserves and ROI",Occupancy Cost %; Maintenance Cost/sq. ft.; Utilization %; CapEx/Depreciation; NPV; IRR; Payback,MANAGEMENT ASSUMPTION
R012,Staffing,CEO establishes organizational priorities,COO determines operational staffing requirements and productivity,"Headcount budget, compensation modeling and affordability",Compensation / Revenue; Revenue per FTE; Program Participants per FTE; Vacancy Rate; Overtime; Benefits %,MANAGEMENT ASSUMPTION
R013,Vendors/contracts,Strategic relationships where appropriate,"Vendor performance, procurement, contracts and service levels","Financial review, controls, budget and contract economics",Cost Savings %; Vendor Concentration; Cost per Unit; Budget Variance; Total Cost of Ownership,MANAGEMENT ASSUMPTION
R014,Technology,CEO sets transformation strategy,COO determines workflow and operational requirements,"ROI/business case, controls, implementation economics",ROI; NPV; Payback; Cost per Transaction; Hours Saved; Error Reduction; Transactions/FTE,MANAGEMENT ASSUMPTION
R015,Cash/liquidity,CEO determines strategic priorities,COO tells you when operations actually need cash,"Treasury, forecasting, reserves and liquidity",Days Cash on Hand; Current Ratio; Operating Reserve Ratio; Cash Conversion/Forecast Variance,MANAGEMENT ASSUMPTION
R016,Budget,CEO sets strategy; CCO establishes program priorities,COO develops operational assumptions,CFO converts strategy into integrated financial plan,Budget Variance; Forecast Accuracy; Operating Margin; Revenue Growth; Expense Growth,MANAGEMENT ASSUMPTION
R017,Risk,CEO/Board establish risk appetite,"COO identifies operational, safety, vendor, facility and execution risks","Quantify financial exposure, insurance, controls and mitigation",Liquidity Risk; Concentration; Insurance Coverage; Scenario Downside; Reserve Coverage,MANAGEMENT ASSUMPTION
R018,Board decisions,CEO presents strategy and recommendation,COO explains execution feasibility,"CFO provides economics, risk, scenarios and recommendation",KPI Dashboard + Forecast + Liquidity + Program Economics + Risk + Scenario/Sensitivity,MANAGEMENT ASSUMPTION
