ratio_kind,target_value,target_direction,target_label,target_class,source,url,date_verified,note
months_cash_on_hand,3.0,>=,INTERNAL POLICY: >= 3.0 months operating cash (sector norm 3-6),MANAGEMENT ASSUMPTION,Module reserve policy (nfp_settings),,2026-09-06,Cash+savings only; excludes portfolio
op_margin_pct,0,>=,INTERNAL POLICY: breakeven or better,MANAGEMENT ASSUMPTION,Module policy,,2026-09-06,No published sector standard - internal floor only
expense_coverage,1.0,>=,INTERNAL POLICY: revenue covers expenses (>= 1.0x),MANAGEMENT ASSUMPTION,Module policy,,2026-09-06,Definitional breakeven
program_expense_ratio_pct,65,>=,BENCHMARK: BBB >= 65% on programs; community-center median ~74.2%; above ~90% can signal underinvestment in infrastructure,PUBLIC_RESEARCH,"BBB Standards for Charity Accountability (verified 2026-09-06); Owner-provided community-center benchmark research 2026-09-06 citing benchlytics.com, whipplewood.com - verify via links; not fetched directly",https://give.org/bbb-standards-for-charity-accountability,2026-09-06,Community centers carry higher facility costs
overhead_ratio_pct,35,<=,BENCHMARK: <= 35% overhead (complement of the BBB 65% program standard),PUBLIC_RESEARCH,BBB Standards for Charity Accountability (verified 2026-09-06),https://give.org/bbb-standards-for-charity-accountability,2026-09-06,Complement of the >= 65% program standard
fundraise_cents_per_dollar,35,<=,BENCHMARK: BBB <= 35 cents per contribution $ (sector typical 15-20 cents),PUBLIC_RESEARCH,BBB (verified 2026-09-06); Owner-provided community-center benchmark research 2026-09-06 citing fireflygiving.com - verify via links; not fetched directly,https://give.org/bbb-standards-for-charity-accountability,2026-09-06,BBB measures vs RELATED contributions; module proxies with total line 8
operating_reserve_months,3.0,>=,SECTOR: 3-6 months reserves; target 6+ when slow-paying reimbursement grants dominate,PUBLIC_RESEARCH,"Owner-provided community-center benchmark research 2026-09-06 citing eisneramper.com, ktllp.cpa, gma-cpa.com, whipplewood.com - verify via links; not fetched directly",https://whipplewood.com/insights/nonprofit-financial-ratios/,2026-09-06,Line 27 includes board-designated funds and net fixed assets - overstates SPENDABLE reserves; refine with audit detail
revenue_concentration_pct,40,<=,SECTOR: keep any single revenue stream under 30-40% of total,PUBLIC_RESEARCH,"Owner-provided community-center benchmark research 2026-09-06 citing ktllp.cpa, convergentnonprofit.com, whipplewood.com, fireflygiving.com - verify via links; not fetched directly",https://www.ktllp.cpa/nonprofit-key-metrics-and-ratios/,2026-09-06,"JSV's largest stream is earned program fees (many payers), a different risk than one grantor or donor - read with judgment"
salaries_pct_exp,60,<=,SECTOR: personnel typically 45-60% of expenses (upper bound drawn),PUBLIC_RESEARCH,Owner-provided community-center benchmark research 2026-09-06 citing owner research - personnel expense ratio - verify via links; not fetched directly,https://whipplewood.com/insights/nonprofit-financial-ratios/,2026-09-06,Staff-heavy community centers run high by design; below 45% can mean understaffing
current_ratio,1.0,>=,SECTOR: current ratio 1.0-2.0 (near-term bills covered),PUBLIC_RESEARCH,Owner-provided benchmark research 2026-09-06 citing whipplewood.com owner research - verify via links; not fetched directly,https://whipplewood.com/insights/nonprofit-financial-ratios/,2026-09-06,990 proxy: (cash+savings+receivables+prepaid) / (AP+grants payable+deferred revenue) - the 990 does not classify current
days_cash_on_hand,90,>=,SECTOR: ~3 months of cash (90 days),PUBLIC_RESEARCH,Owner-provided benchmark research 2026-09-06 citing owner research ratio table - verify via links; not fetched directly,https://whipplewood.com/insights/nonprofit-financial-ratios/,2026-09-06,Unrestricted cash vs a day of cash expenses
mgmt_general_pct_exp,20,<=,OWNER RULE: management & general < 20% of total expenses,PUBLIC_RESEARCH,Owner-provided benchmark research 2026-09-06 citing owner research: M&G < 20% - verify via links; not fetched directly,https://whipplewood.com/insights/nonprofit-financial-ratios/,2026-09-06,Stricter than the 35% overhead ceiling - excludes fundraising
fundraise_dollars_per_dollar,5,>=,SECTOR: raise $5 or more per $1 spent on fundraising,PUBLIC_RESEARCH,Owner-provided benchmark research 2026-09-06 citing owner research ratio table - verify via links; not fetched directly,https://whipplewood.com/insights/nonprofit-financial-ratios/,2026-09-06,Inverse view of fundraising cost
public_support_pct,33.33,>=,IRS RULE: >= 33 1/3% public support (Schedule A test),PUBLIC_RESEARCH,"IRS public support test as filed on Schedule A Part II; rule context from owner-provided research (Foundation Group, IRS)",https://www.irs.gov/charities-non-profits/exempt-organizations-annual-reporting-requirements-form-990-schedules-a-and-b-public-charity-support-test,2026-09-06,Below 33 1/3% falls to the 10% facts-and-circumstances test; sustained below 10% risks private-foundation reclassification
