item_id,ticker,company,period,driver,basis,source,date_verified,confidence,note
RS-1,WELL,Welltower,2017-2019,Pre-pandemic senior housing,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-2,WELL,Welltower,2020,COVID shock,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-3,WELL,Welltower,2021,Reopening recovery,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-4,WELL,Welltower,2022,Rate shock,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-5,WELL,Welltower,2023-2024,Occupancy/NOI recovery,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-6,WELL,Welltower,2025-2026,Senior-housing expansion,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-7,PLD,Prologis,2017-2019,Logistics growth,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-8,PLD,Prologis,2020-2021,E-commerce/warehouse boom,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-9,PLD,Prologis,2022,Rate shock + Duke Realty acquisition,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-10,PLD,Prologis,2023,Recovery,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-11,PLD,Prologis,2024,Logistics normalization,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-12,PLD,Prologis,2025-2026,Recovery + data-center/power expansion,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-13,EQIX,Equinix,2017-2019,Cloud/data-center expansion,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
RS-14,EQIX,Equinix,2020-2021,Digital infrastructure demand,OWNER-PROVIDED SUMMARY,"Owner-provided REIT performance page, pasted in chat 2026-09-17",2026-09-17,MEDIUM,"market narrative, not verified filings"
