row_id,grant_id,grant,funder,program_id,end_date,window,amount,renewal_probability_pct,expected_renewal,at_risk_funding,unrestricted_replacement_required,value_class
R001,G-SYN-1,Youth program operating grant,SYNTHETIC Funder A,P2,2026-12-31,0-3 MONTHS,200000.0,70.0,140000.0,60000.0,60000.0,SYNTHETIC
R002,G-SYN-2,Senior services grant,SYNTHETIC Funder B,P3,2026-11-30,0-3 MONTHS,200000.0,70.0,140000.0,60000.0,60000.0,SYNTHETIC
R003,G-SYN-3,Family services grant,SYNTHETIC Funder C,P7,2026-10-31,0-3 MONTHS,260000.0,65.0,169000.0,91000.0,91000.0,SYNTHETIC
R004,G-SYN-4,Early childhood quality grant,SYNTHETIC Funder D,P1,2027-08-31,6-12 MONTHS,120000.0,80.0,96000.0,24000.0,24000.0,SYNTHETIC
R005,G-SYN-5,Cultural arts grant,SYNTHETIC Funder E,P5,2027-02-28,3-6 MONTHS,80000.0,65.0,52000.0,28000.0,28000.0,SYNTHETIC
R006,SCEN-100% RENEWAL,100% RENEWAL,ALL EXPIRING,,,SCENARIO,860000.0,,860000.0,0.0,0.0,MODEL_OUTPUT
R007,SCEN-75% RENEWAL,75% RENEWAL,ALL EXPIRING,,,SCENARIO,860000.0,,645000.0,215000.0,215000.0,MODEL_OUTPUT
R008,SCEN-50% RENEWAL,50% RENEWAL,ALL EXPIRING,,,SCENARIO,860000.0,,430000.0,430000.0,430000.0,MODEL_OUTPUT
R009,SCEN-0% RENEWAL,0% RENEWAL,ALL EXPIRING,,,SCENARIO,860000.0,,0.0,860000.0,860000.0,MODEL_OUTPUT
R010,SCEN-20% REDUCTION,20% REDUCTION,ALL EXPIRING,,,SCENARIO,860000.0,,688000.0,172000.0,172000.0,MODEL_OUTPUT
R011,SCEN-3-MONTH DELAY,3-MONTH DELAY,ALL EXPIRING,,,SCENARIO,860000.0,,645000.0,215000.0,215000.0,MODEL_OUTPUT
R012,SCEN-6-MONTH DELAY,6-MONTH DELAY,ALL EXPIRING,,,SCENARIO,860000.0,,430000.0,430000.0,430000.0,MODEL_OUTPUT
