series_id,month,value,value_class,source_reference
participants:P1,2022-10,95.9,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2022-11,99.06,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2022-12,95.59,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-01,100.74,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-02,102.14,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-03,99.28,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-04,104.76,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-05,102.76,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-06,95.52,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-07,101.24,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-08,99.57,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-09,108.47,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-10,104.19,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-11,106.86,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2023-12,100.03,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-01,107.32,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-02,104.1,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-03,102.29,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-04,103.37,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-05,108.35,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-06,101.93,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-07,103.54,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-08,115.96,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-09,108.97,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-10,105.41,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-11,109.8,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2024-12,107.51,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-01,118.55,SYNTHETIC,financials/nfp_ml.py seed 777
participants:P1,2025-02,110.55,SYNTHETIC,financials/nfp_ml.py seed 777
