row_id,ratio_id,ratio_kind,ratio,fiscal_year,value,unit,formula_990,basis,confidence,value_class,note,target_value,target_direction,target_label,target_class,vs_target,verdict_detail
R001,R990-op_margin_pct-FY2021,op_margin_pct,Operating margin % (FY2021),FY2021,-3.18,%,(Part I line 12 - line 18) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Negative = the year spent more than it raised,0.0,>=,INTERNAL POLICY: breakeven or better,MANAGEMENT ASSUMPTION,MISSES,MISSES by 3.18 (-3.18 vs 0.00)
R002,R990-expense_coverage-FY2021,expense_coverage,Expense coverage (FY2021),FY2021,0.9692,x,Part I line 12 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,>= 1.0 means revenue covered the year's expenses,1.0,>=,INTERNAL POLICY: revenue covers expenses (>= 1.0x),MANAGEMENT ASSUMPTION,MISSES,MISSES by 0.03 (0.97 vs 1.00)
R003,R990-program_reliance_pct-FY2021,program_reliance_pct,Program revenue reliance % (FY2021),FY2021,57.6924,%,Part I line 9 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Earned-revenue share - the JCC operating model,,,,,,
R004,R990-contrib_reliance_pct-FY2021,contrib_reliance_pct,Contributions reliance % (FY2021),FY2021,37.386,%,Part I line 8 / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Donated share of revenue,,,,,,
R005,R990-invest_other_pct-FY2021,invest_other_pct,Investment + other revenue % (FY2021),FY2021,4.9216,%,(Part I line 10 + line 11) / line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Portfolio and misc income share,,,,,,
R006,R990-salaries_pct_exp-FY2021,salaries_pct_exp,Salaries % of expenses (FY2021),FY2021,63.6505,%,Part I line 15 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,People-cost share of spending,60.0,<=,SECTOR: personnel typically 45-60% of expenses (upper bound drawn),PUBLIC_RESEARCH,MISSES,MISSES by 3.65 (63.65 vs 60.00)
R007,R990-grants_pct_exp-FY2021,grants_pct_exp,Grants paid % of expenses (FY2021),FY2021,6.959,%,Part I line 13 / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Regranting share of spending,,,,,,
R008,R990-fundraise_cents_per_dollar-FY2021,fundraise_cents_per_dollar,Fundraising cost per $ raised (FY2021),FY2021,11.4375,cents,Part I line 16b / line 8 x 100,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Cents spent on fundraising per contribution dollar,35.0,<=,BENCHMARK: BBB <= 35 cents per contribution $ (sector typical 15-20 cents),PUBLIC_RESEARCH,MEETS,MEETS by 23.56 (11.44 vs 35.00)
R009,R990-net_asset_ratio_pct-FY2021,net_asset_ratio_pct,Net asset ratio % (FY2021),FY2021,79.0138,%,Part X line 16 net of line 26,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of the balance sheet owned free of liabilities,,,,,,
R010,R990-months_cash_on_hand-FY2021,months_cash_on_hand,Months of cash on hand (FY2021),FY2021,5.5692,months,(Part X line 1 + line 2) / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Pure cash liquidity vs the internal 3.0-month policy; excludes the investment portfolio,3.0,>=,INTERNAL POLICY: >= 3.0 months operating cash (sector norm 3-6),MANAGEMENT ASSUMPTION,MEETS,MEETS by 2.57 (5.57 vs 3.00)
R011,R990-program_expense_ratio_pct-FY2021,program_expense_ratio_pct,Program expense ratio % (FY2021),FY2021,76.8843,%,Part IX line 25 col B / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending on programs - the sector's headline accountability ratio,65.0,>=,BENCHMARK: BBB >= 65% on programs; community-center median ~74.2%; above ~90% can signal underinvestment in infrastructure,PUBLIC_RESEARCH,MEETS,MEETS by 11.88 (76.88 vs 65.00)
R012,R990-overhead_ratio_pct-FY2021,overhead_ratio_pct,Overhead ratio % (FY2021),FY2021,23.1157,%,Part IX line 25 (col C + col D) / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Management + fundraising share of spending,35.0,<=,BENCHMARK: <= 35% overhead (complement of the BBB 65% program standard),PUBLIC_RESEARCH,MEETS,MEETS by 11.88 (23.12 vs 35.00)
R013,R990-operating_reserve_months-FY2021,operating_reserve_months,Operating reserve months (FY2021),FY2021,6.6479,months,Part X line 27 / (Part I line 18 / 12),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,"Unrestricted net assets vs a month of spending - line 27 includes board-designated funds and net fixed assets, so this OVERSTATES spendable reserves",3.0,>=,SECTOR: 3-6 months reserves; target 6+ when slow-paying reimbursement grants dominate,PUBLIC_RESEARCH,MEETS,MEETS by 3.65 (6.65 vs 3.00)
R014,R990-revenue_concentration_pct-FY2021,revenue_concentration_pct,Revenue concentration % (FY2021),FY2021,57.6924,%,largest single revenue stream / Part I line 12,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Largest stream: program service revenue - earned fees from many payers carry different risk than one grantor or major donor,40.0,<=,SECTOR: keep any single revenue stream under 30-40% of total,PUBLIC_RESEARCH,MISSES,MISSES by 17.69 (57.69 vs 40.00)
R015,R990-current_ratio-FY2021,current_ratio,Current ratio (FY2021),FY2021,2.4322,x,Part X (lines 1+2+3+4+9) / (lines 17+18+19),DERIVED (990 PROXY),HIGH,PUBLIC_RESEARCH,990 PROXY - the form does not classify current vs long-term; numerator and denominator are the plainly short-term lines,1.0,>=,SECTOR: current ratio 1.0-2.0 (near-term bills covered),PUBLIC_RESEARCH,MEETS,MEETS by 1.43 (2.43 vs 1.00)
R016,R990-days_cash_on_hand-FY2021,days_cash_on_hand,Days cash on hand (FY2021),FY2021,169.3951,days,(Part X line 1 + line 2) / (Part I line 18 / 365),COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Day-count view of the months-of-cash ratio,90.0,>=,SECTOR: ~3 months of cash (90 days),PUBLIC_RESEARCH,MEETS,MEETS by 79.40 (169.40 vs 90.00)
R017,R990-mgmt_general_pct_exp-FY2021,mgmt_general_pct_exp,Admin (M&G) % of expenses (FY2021),FY2021,18.9715,%,Part IX line 25 col C / col A,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Management & general only - excludes fundraising,20.0,<=,OWNER RULE: management & general < 20% of total expenses,PUBLIC_RESEARCH,MEETS,MEETS by 1.03 (18.97 vs 20.00)
R018,R990-fundraise_dollars_per_dollar-FY2021,fundraise_dollars_per_dollar,Dollars raised per $1 of fundraising (FY2021),FY2021,8.7432,$ per $,Part I line 8 / line 16b,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Inverse of the cents-per-dollar view,5.0,>=,SECTOR: raise $5 or more per $1 spent on fundraising,PUBLIC_RESEARCH,MEETS,MEETS by 3.74 (8.74 vs 5.00)
R019,R990-public_support_pct-FY2021,public_support_pct,IRS public support % (FY2021),FY2021,74.16,%,Schedule A Part II line 14 (as filed),FILED (SCHEDULE A),HIGH,PUBLIC_RESEARCH,"5-year cumulative IRS test, filed by the preparer - not recomputed here",33.33,>=,IRS RULE: >= 33 1/3% public support (Schedule A test),PUBLIC_RESEARCH,MEETS,MEETS by 40.83 (74.16 vs 33.33)
R020,R990-leverage_ratio-FY2021,leverage_ratio,Leverage ratio (FY2021),FY2021,0.2656,x,Part X line 26 / Part I line 22,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Total liabilities vs net assets - lower means less reliance on debt; no published sector standard,,,,,,
R021,R990-savings_indicator_pct-FY2021,savings_indicator_pct,Savings indicator % (FY2021),FY2021,-3.082,%,(line 12 - line 18) / line 18,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Share of spending the year added to (or drew from) net assets,,,,,,
R022,R990-roa_pct-FY2021,roa_pct,Return on assets % (FY2021),FY2021,-1.2836,%,(line 12 - line 18) / Part X line 16,COMPUTED FROM FILED,HIGH,PUBLIC_RESEARCH,Surplus generated per dollar of balance sheet,,,,,,
