row_id,month,funding,cost,gap,cumulative_gap,cash_balance,months_cash,policy_months,breach_flag,value_class
R001,2022-10,387289.0,405839.0,-18550.0,-18550.0,1109535.0,2.73,3.0,BREACH,SYNTHETIC
R002,2022-11,402066.0,406994.0,-4928.0,-23478.0,1104607.0,2.72,3.0,BREACH,SYNTHETIC
R003,2022-12,448595.0,414200.0,34395.0,10917.0,1139002.0,2.78,3.0,BREACH,SYNTHETIC
R004,2023-01,423804.0,402623.0,21181.0,32098.0,1160183.0,2.85,3.0,BREACH,SYNTHETIC
R005,2023-02,439361.0,409365.0,29996.0,62094.0,1190179.0,2.92,3.0,BREACH,SYNTHETIC
R006,2023-03,441747.0,411857.0,29890.0,91984.0,1220069.0,2.99,3.0,BREACH,SYNTHETIC
R007,2023-04,479839.0,416401.0,63438.0,155422.0,1283507.0,3.13,3.0,,SYNTHETIC
R008,2023-05,470206.0,419230.0,50976.0,206398.0,1334483.0,3.25,3.0,,SYNTHETIC
R009,2023-06,410145.0,416566.0,-6421.0,199977.0,1328062.0,3.23,3.0,,SYNTHETIC
R010,2023-07,429556.0,420274.0,9283.0,209260.0,1337345.0,3.24,3.0,,SYNTHETIC
R011,2023-08,434321.0,415295.0,19026.0,228286.0,1356371.0,3.29,3.0,,SYNTHETIC
R012,2023-09,456180.0,418430.0,37751.0,266037.0,1394122.0,3.37,3.0,,SYNTHETIC
R013,2023-10,419332.0,417038.0,2294.0,268331.0,1396416.0,3.37,3.0,,SYNTHETIC
R014,2023-11,423095.0,419361.0,3733.0,272064.0,1400149.0,3.37,3.0,,SYNTHETIC
R015,2023-12,471069.0,417937.0,53132.0,325196.0,1453281.0,3.5,3.0,,SYNTHETIC
R016,2024-01,411834.0,424255.0,-12421.0,312775.0,1440860.0,3.45,3.0,,SYNTHETIC
R017,2024-02,412647.0,420972.0,-8325.0,304450.0,1432535.0,3.43,3.0,,SYNTHETIC
R018,2024-03,430644.0,423318.0,7326.0,311776.0,1439861.0,3.44,3.0,,SYNTHETIC
R019,2024-04,432816.0,421097.0,11719.0,323495.0,1451580.0,3.46,3.0,,SYNTHETIC
R020,2024-05,419923.0,424912.0,-4989.0,318506.0,1446591.0,3.44,3.0,,SYNTHETIC
R021,2024-06,440169.0,421783.0,18385.0,336891.0,1464976.0,3.48,3.0,,SYNTHETIC
R022,2024-07,433322.0,431587.0,1736.0,338627.0,1466712.0,3.48,3.0,,SYNTHETIC
R023,2024-08,452513.0,425120.0,27393.0,366020.0,1494105.0,3.54,3.0,,SYNTHETIC
R024,2024-09,427917.0,431219.0,-3302.0,362718.0,1490803.0,3.52,3.0,,SYNTHETIC
R025,2024-10,449779.0,428690.0,21089.0,383807.0,1511892.0,3.56,3.0,,SYNTHETIC
R026,2024-11,449200.0,432233.0,16967.0,400774.0,1528859.0,3.6,3.0,,SYNTHETIC
R027,2024-12,435698.0,428089.0,7609.0,408383.0,1536468.0,3.61,3.0,,SYNTHETIC
R028,2025-01,443612.0,428053.0,15559.0,423942.0,1552027.0,3.64,3.0,,SYNTHETIC
R029,2025-02,462907.0,437523.0,25384.0,449326.0,1577411.0,3.69,3.0,,SYNTHETIC
R030,2025-03,426542.0,432282.0,-5741.0,443585.0,1571670.0,3.67,3.0,,SYNTHETIC
R031,2025-04,446640.0,437373.0,9267.0,452852.0,1580937.0,3.68,3.0,,SYNTHETIC
R032,2025-05,408800.0,432514.0,-23715.0,429137.0,1557222.0,3.62,3.0,,SYNTHETIC
R033,2025-06,478245.0,441683.0,36563.0,465700.0,1593785.0,3.69,3.0,,SYNTHETIC
R034,2025-07,458306.0,441903.0,16402.0,482102.0,1610187.0,3.72,3.0,,SYNTHETIC
R035,2025-08,450874.0,437447.0,13428.0,495530.0,1623615.0,3.74,3.0,,SYNTHETIC
R036,2025-09,469344.0,439840.0,29504.0,525034.0,1653119.0,3.8,3.0,,SYNTHETIC
R037,2025-10,454555.0,436845.0,17710.0,542744.0,1670829.0,3.84,3.0,,SYNTHETIC
R038,2025-11,439287.0,439825.0,-538.0,542206.0,1670291.0,3.83,3.0,,SYNTHETIC
R039,2025-12,478241.0,438270.0,39971.0,582177.0,1710262.0,3.91,3.0,,SYNTHETIC
R040,2026-01,422103.0,438718.0,-16615.0,565562.0,1693647.0,3.87,3.0,,SYNTHETIC
R041,2026-02,479357.0,437023.0,42334.0,607896.0,1735981.0,3.97,3.0,,SYNTHETIC
R042,2026-03,487352.0,445133.0,42220.0,650116.0,1778201.0,4.05,3.0,,SYNTHETIC
R043,2026-04,481571.0,446397.0,35175.0,685291.0,1813376.0,4.12,3.0,,SYNTHETIC
R044,2026-05,453962.0,446750.0,7213.0,692504.0,1820589.0,4.13,3.0,,SYNTHETIC
R045,2026-06,430758.0,451385.0,-20627.0,671877.0,1799962.0,4.08,3.0,,SYNTHETIC
R046,2026-07,457155.0,447086.0,10069.0,681946.0,1810031.0,4.09,3.0,,SYNTHETIC
R047,2026-08,436304.0,453603.0,-17299.0,664647.0,1792732.0,4.04,3.0,,SYNTHETIC
R048,2026-09,460063.0,452795.0,7268.0,671915.0,1800000.0,4.05,3.0,,SYNTHETIC
