item_id,item,researched_range,chosen_value,unit,source,url,date_verified,confidence,basis,note
PT-1,Construction (3-4 lane institutional lap pool),"200,000 - 500,000+",350000,USD,Angi 2026 lap-pool cost guide via web search,https://www.angi.com/articles/lap-pool-cost.htm,2026-09-21,MEDIUM,PUBLIC_RESEARCH (RANGE) - chosen midpoint,institutional 3-4 lane facilities are the school/fitness-club/community tier
PT-2,Construction contingency,10 - 20% sector practice,15,pct,Pool Cost Estimator 2026 lap-pool guide via web search,https://poolcostestimator.com/cost-guide/lap-pool-costs/,2026-09-21,MEDIUM,PUBLIC_RESEARCH (RANGE) - chosen midpoint,labor alone runs 25-50% of total per the guides - contingency is not optional
PT-3,Lifeguard wage (California mean),US surveys 16.71 - 18.00; CA mean 21.64 (May 2024),21.64,USD/hr,BLS TED: lifeguard hourly mean wages by state (May 2024) via web search,https://www.bls.gov/opub/ted/2025/lifeguards-had-hourly-mean-wages-over-21-00-in-two-states-and-the-district-of-columbia-in-2024.htm,2026-09-21,MEDIUM,PUBLIC_RESEARCH - CA figure chosen because JSV is in California,official BLS state mean; private 2026 surveys run lower nationally
PT-4,Incremental guard-post hours,one added post x 40 hrs/wk x 52,2080,hrs/yr,Staffing assumption - owner-adjustable,,2026-09-21,MEDIUM,MANAGEMENT ASSUMPTION,real schedule depends on code-required guard ratios and open hours
PT-5,"Heating, electricity & water (one added pool)","large high-load facility: 41,209 gas + 16,400 electric + 22,500 water",20000,USD/yr,Pool Founder 2026 commercial pool operating-cost breakdown via web search,https://www.poolfounder.com/commercial-pool-service-pricing,2026-09-21,MEDIUM,PUBLIC_RESEARCH (SCALED) - placeholder well below the researched large-facility total,owner-adjustable; indoor vs outdoor and covers change this a lot
PT-6,Commercial service contract,"3,000 - 20,000 per year",8000,USD/yr,Blue Pool Water 2026 commercial service pricing via web search,https://bluepoolwater.com/blog/commercial-pool-service-costs-texas/,2026-09-21,MEDIUM,PUBLIC_RESEARCH (RANGE) - mid-low chosen,"monthly invoices 250 - 2,000+ by facility type"
PT-7,Chemicals,"~5,000 per year commercial",5000,USD/yr,Pool Founder 2026 operating-cost breakdown via web search,https://www.poolfounder.com/commercial-pool-service-pricing,2026-09-21,MEDIUM,PUBLIC_RESEARCH,liquid chlorine 3.00-4.50/gal in 2026 per the guides
PT-8,Group swim-lesson package (8 sessions),community centers 15 - 30 per session,120,USD/package,Lessons.com 2026 swim-lesson cost survey via web search,https://lessons.com/costs/swimming-lessons-cost,2026-09-21,MEDIUM,PUBLIC_RESEARCH - 8 x 15 low-end community price chosen,YMCA member packages run 40-140; nonmember 70-200
PT-9,Lesson enrollments per year,owner forecast needed,300,enrollments,Utilization assumption - owner-adjustable,,2026-09-21,MEDIUM,MANAGEMENT ASSUMPTION,tie to the demand-evidence checklist row (waitlists + tab 15 study)
PT-10,Membership / rental uplift,needs JSV dues schedule + demand data,,USD/yr,Not researchable from outside - JSV's own dues and retention data,,2026-09-21,MEDIUM,RESEARCH REQUIRED,the decisive number - see the breakeven row of the pro-forma
