obs_id,years_funded,funder_type,reported_on_time,renewed,value_class,source_reference
GR-001,3,Government,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-002,4,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-003,3,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-004,7,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-005,1,Government,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-006,3,Government,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-007,2,Government,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-008,6,Government,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-009,9,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-010,5,Corporate,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-011,2,Corporate,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-012,3,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-013,4,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-014,9,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-015,3,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-016,8,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-017,5,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-018,2,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-019,6,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-020,9,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-021,9,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-022,3,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-023,8,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-024,8,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-025,9,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-026,2,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-027,9,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-028,3,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-029,1,Corporate,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-030,7,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-031,4,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-032,3,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-033,4,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-034,7,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-035,8,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-036,5,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-037,8,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-038,4,Government,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-039,3,Corporate,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-040,2,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-041,4,Foundation,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-042,1,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-043,2,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-044,1,Government,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-045,3,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-046,8,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-047,5,Foundation,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-048,5,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-049,3,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-050,6,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-051,5,Corporate,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-052,3,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-053,7,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-054,5,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-055,7,Corporate,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-056,6,Corporate,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
GR-057,1,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-058,8,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-059,1,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
GR-060,4,Government,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
