row_id,item_id,section,item,amount,value_class,source,note
R001,CAM-1,CAMPAIGN,Campaign goal (Second Pool),7000000.0,PUBLIC_RESEARCH,Owner-provided build prompt 2026-09-05 citing FY2023 public reporting; public cross-check: 990s at projects.propublica.org/nonprofits/organizations/942222989,HISTORICAL PUBLIC INFORMATION - CURRENT STATUS REQUIRES UPDATE
R002,CAM-2,CAMPAIGN,Donor-restricted campaign funds at 2023-06-30,2340000.0,PUBLIC_RESEARCH,Owner-provided build prompt 2026-09-05 citing FY2023 public reporting; public cross-check: 990s at projects.propublica.org/nonprofits/organizations/942222989,HISTORICAL PUBLIC INFORMATION
R003,SRC-1,SOURCES,Campaign cash on hand (restricted),2340000.0,PUBLIC_RESEARCH,Historical seed above,RESTRICTED - NOT AVAILABLE FOR GENERAL OPERATIONS
R004,SRC-2,SOURCES,Pledges receivable (synthetic plan),1200000.0,SYNTHETIC,Demonstration plan,
R005,SRC-3,SOURCES,New gifts to raise (synthetic plan),2460000.0,SYNTHETIC,Demonstration plan,
R006,SRC-4,SOURCES,Grants (synthetic plan),500000.0,SYNTHETIC,Demonstration plan,
R007,SRC-5,SOURCES,LOC bridge draw (synthetic plan),500000.0,SYNTHETIC,Demonstration plan,Repaid from pledge collections
R008,USE-1,USES,Construction,5400000.0,SYNTHETIC,Demonstration plan,
R009,USE-2,USES,Equipment,400000.0,SYNTHETIC,Demonstration plan,
R010,USE-3,USES,Soft costs / professional fees,500000.0,SYNTHETIC,Demonstration plan,
R011,USE-4,USES,Campaign costs,250000.0,SYNTHETIC,Demonstration plan,
R012,USE-5,USES,Financing costs,100000.0,SYNTHETIC,Demonstration plan,
R013,USE-6,USES,Contingency,350000.0,SYNTHETIC,Demonstration plan,
R014,SUM-1,SUMMARY,Remaining to raise at 2023-06-30 (historical),4660000.0,MODEL_OUTPUT,goal - restricted,HISTORICAL PUBLIC INFORMATION - CURRENT STATUS REQUIRES UPDATE
R015,SUM-2,SUMMARY,Total sources,7000000.0,MODEL_OUTPUT,sum of SOURCES,
R016,SUM-3,SUMMARY,Total uses,7000000.0,MODEL_OUTPUT,sum of USES,
R017,SUM-4,SUMMARY,CONTROL: sources = uses,0.0,MODEL_OUTPUT,sources - uses,PASS
