obs_id,signed,large_gift,paid_within_90d,value_class,source_reference
PI-001,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-002,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-003,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-004,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-005,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-006,0,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-007,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-008,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-009,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-010,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-011,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-012,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-013,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-014,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-015,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-016,0,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-017,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-018,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-019,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-020,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-021,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-022,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-023,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-024,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-025,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-026,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-027,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-028,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-029,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-030,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-031,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-032,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-033,0,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-034,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-035,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-036,1,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-037,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-038,0,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-039,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-040,0,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-041,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-042,1,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-043,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-044,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-045,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-046,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-047,0,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-048,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-049,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-050,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-051,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-052,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-053,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-054,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-055,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-056,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-057,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-058,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-059,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-060,0,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-061,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-062,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-063,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-064,1,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-065,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-066,1,0,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-067,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-068,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-069,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-070,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-071,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-072,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-073,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-074,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-075,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-076,0,1,0,SYNTHETIC,financials/nfp_ml.py seed 777
PI-077,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-078,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-079,1,1,1,SYNTHETIC,financials/nfp_ml.py seed 777
PI-080,1,0,1,SYNTHETIC,financials/nfp_ml.py seed 777
