row_id,subject_id,subject,diagnosis,suggestion,why,financial_effect,mission_effect,owner_role,approval_required,success_kpi,value_class
R001,P1,Early Childhood Education,"Cost per participant $10,000 vs portfolio median $1,800","Review staffing mix, capacity, vendor costs, shared services, facility use, program redesign",Unit cost is the portfolio outlier,Target cost/participant toward median,Neutral if service level held,ECE Director,CFO -> CEO,Cost per participant,MODEL_OUTPUT
R002,P1,Early Childhood Education,"High mission (8/10) with funding gap $60,000","Seek restricted grant, endowment/designated support, sponsorship, cross-subsidy, shared staffing, campaign, strategic partnership","The mission case justifies intentional subsidy - solve the funding model, not the program",Close the gap with dedicated funding,Protects mission-critical delivery,CEO,CFO -> CEO,Funding gap,MODEL_OUTPUT
R003,P2,Youth & Teen Programs,Utilization 67% of capacity,"Outreach, schedule changes, pricing review, consolidation, re-targeting",Fixed costs are spread over too few participants,Higher earned revenue on the same cost base,More participants served,Youth Director,CFO -> CEO,Capacity utilization %,MODEL_OUTPUT
R004,P2,Youth & Teen Programs,"High mission (8/10) with funding gap $60,000","Seek restricted grant, endowment/designated support, sponsorship, cross-subsidy, shared staffing, campaign, strategic partnership","The mission case justifies intentional subsidy - solve the funding model, not the program",Close the gap with dedicated funding,Protects mission-critical delivery,CEO,CFO -> CEO,Funding gap,MODEL_OUTPUT
R005,P3,Senior Services,Grant dependency 44% (renewal 70%),"Diversify grants, pursue multi-year grants, grow earned revenue, sponsorship, unrestricted giving",One funder class controls the program's survival,"Probability-weighted gap $110,000",Continuity protection,Development Dir,CFO -> CEO,Grant dependency %,MODEL_OUTPUT
R006,P3,Senior Services,"High mission (9/10) with funding gap $50,000","Seek restricted grant, endowment/designated support, sponsorship, cross-subsidy, shared staffing, campaign, strategic partnership","The mission case justifies intentional subsidy - solve the funding model, not the program",Close the gap with dedicated funding,Protects mission-critical delivery,CEO,CFO -> CEO,Funding gap,MODEL_OUTPUT
R007,P5,Cultural Arts,Utilization 67% of capacity,"Outreach, schedule changes, pricing review, consolidation, re-targeting",Fixed costs are spread over too few participants,Higher earned revenue on the same cost base,More participants served,Program Director,CFO -> CEO,Capacity utilization %,MODEL_OUTPUT
R008,P5,Cultural Arts,"High mission (7/10) with funding gap $100,000","Seek restricted grant, endowment/designated support, sponsorship, cross-subsidy, shared staffing, campaign, strategic partnership","The mission case justifies intentional subsidy - solve the funding model, not the program",Close the gap with dedicated funding,Protects mission-critical delivery,CEO,CFO -> CEO,Funding gap,MODEL_OUTPUT
R009,P6,Community Events,Utilization 60% of capacity,"Outreach, schedule changes, pricing review, consolidation, re-targeting",Fixed costs are spread over too few participants,Higher earned revenue on the same cost base,More participants served,Development,CFO -> CEO,Capacity utilization %,MODEL_OUTPUT
R010,P7,Family Services,"Cost per participant $3,389 vs portfolio median $1,800","Review staffing mix, capacity, vendor costs, shared services, facility use, program redesign",Unit cost is the portfolio outlier,Target cost/participant toward median,Neutral if service level held,Program Director,CFO -> CEO,Cost per participant,MODEL_OUTPUT
R011,P7,Family Services,Grant dependency 51% (renewal 65%),"Diversify grants, pursue multi-year grants, grow earned revenue, sponsorship, unrestricted giving",One funder class controls the program's survival,"Probability-weighted gap $191,000",Continuity protection,Development Dir,CFO -> CEO,Grant dependency %,MODEL_OUTPUT
R012,P7,Family Services,"High mission (9/10) with funding gap $100,000","Seek restricted grant, endowment/designated support, sponsorship, cross-subsidy, shared staffing, campaign, strategic partnership","The mission case justifies intentional subsidy - solve the funding model, not the program",Close the gap with dedicated funding,Protects mission-critical delivery,CEO,CFO -> CEO,Funding gap,MODEL_OUTPUT
R013,P8,Adult Education,"Cost per participant $3,333 vs portfolio median $1,800","Review staffing mix, capacity, vendor costs, shared services, facility use, program redesign",Unit cost is the portfolio outlier,Target cost/participant toward median,Neutral if service level held,Program Director,CFO -> CEO,Cost per participant,MODEL_OUTPUT
R014,P8,Adult Education,Utilization 45% of capacity,"Outreach, schedule changes, pricing review, consolidation, re-targeting",Fixed costs are spread over too few participants,Higher earned revenue on the same cost base,More participants served,Program Director,CFO -> CEO,Capacity utilization %,MODEL_OUTPUT
R015,P8,Adult Education,Low mission (4/10) and self-sufficiency 41%,"Redesign, combine with another program, reduce capacity, pilot an alternative, pause, or sunset",Neither mission nor economics currently earn the subsidy,"Frees up to $130,000/yr",Low mission loss if redesigned well,Program Director,CFO -> CEO -> Board,Decision made by review date,MODEL_OUTPUT
