row_id,series_id,series,category,month,history_value,estimate_value,kind,value_class
R001,participants:P1,Early Childhood Education participants,participants,2022-10,95.9,,HISTORY (SYNTHETIC),SYNTHETIC
R002,participants:P1,Early Childhood Education participants,participants,2022-11,99.06,,HISTORY (SYNTHETIC),SYNTHETIC
R003,participants:P1,Early Childhood Education participants,participants,2022-12,95.59,,HISTORY (SYNTHETIC),SYNTHETIC
R004,participants:P1,Early Childhood Education participants,participants,2023-01,100.74,,HISTORY (SYNTHETIC),SYNTHETIC
R005,participants:P1,Early Childhood Education participants,participants,2023-02,102.14,,HISTORY (SYNTHETIC),SYNTHETIC
R006,participants:P1,Early Childhood Education participants,participants,2023-03,99.28,,HISTORY (SYNTHETIC),SYNTHETIC
R007,participants:P1,Early Childhood Education participants,participants,2023-04,104.76,,HISTORY (SYNTHETIC),SYNTHETIC
R008,participants:P1,Early Childhood Education participants,participants,2023-05,102.76,,HISTORY (SYNTHETIC),SYNTHETIC
R009,participants:P1,Early Childhood Education participants,participants,2023-06,95.52,,HISTORY (SYNTHETIC),SYNTHETIC
R010,participants:P1,Early Childhood Education participants,participants,2023-07,101.24,,HISTORY (SYNTHETIC),SYNTHETIC
R011,participants:P1,Early Childhood Education participants,participants,2023-08,99.57,,HISTORY (SYNTHETIC),SYNTHETIC
R012,participants:P1,Early Childhood Education participants,participants,2023-09,108.47,,HISTORY (SYNTHETIC),SYNTHETIC
R013,participants:P1,Early Childhood Education participants,participants,2023-10,104.19,,HISTORY (SYNTHETIC),SYNTHETIC
R014,participants:P1,Early Childhood Education participants,participants,2023-11,106.86,,HISTORY (SYNTHETIC),SYNTHETIC
R015,participants:P1,Early Childhood Education participants,participants,2023-12,100.03,,HISTORY (SYNTHETIC),SYNTHETIC
R016,participants:P1,Early Childhood Education participants,participants,2024-01,107.32,,HISTORY (SYNTHETIC),SYNTHETIC
R017,participants:P1,Early Childhood Education participants,participants,2024-02,104.1,,HISTORY (SYNTHETIC),SYNTHETIC
R018,participants:P1,Early Childhood Education participants,participants,2024-03,102.29,,HISTORY (SYNTHETIC),SYNTHETIC
R019,participants:P1,Early Childhood Education participants,participants,2024-04,103.37,,HISTORY (SYNTHETIC),SYNTHETIC
R020,participants:P1,Early Childhood Education participants,participants,2024-05,108.35,,HISTORY (SYNTHETIC),SYNTHETIC
R021,participants:P1,Early Childhood Education participants,participants,2024-06,101.93,,HISTORY (SYNTHETIC),SYNTHETIC
R022,participants:P1,Early Childhood Education participants,participants,2024-07,103.54,,HISTORY (SYNTHETIC),SYNTHETIC
R023,participants:P1,Early Childhood Education participants,participants,2024-08,115.96,,HISTORY (SYNTHETIC),SYNTHETIC
R024,participants:P1,Early Childhood Education participants,participants,2024-09,108.97,,HISTORY (SYNTHETIC),SYNTHETIC
R025,participants:P1,Early Childhood Education participants,participants,2024-10,105.41,,HISTORY (SYNTHETIC),SYNTHETIC
R026,participants:P1,Early Childhood Education participants,participants,2024-11,109.8,,HISTORY (SYNTHETIC),SYNTHETIC
R027,participants:P1,Early Childhood Education participants,participants,2024-12,107.51,,HISTORY (SYNTHETIC),SYNTHETIC
R028,participants:P1,Early Childhood Education participants,participants,2025-01,118.55,,HISTORY (SYNTHETIC),SYNTHETIC
R029,participants:P1,Early Childhood Education participants,participants,2025-02,110.55,,HISTORY (SYNTHETIC),SYNTHETIC
R030,participants:P1,Early Childhood Education participants,participants,2025-03,114.47,,HISTORY (SYNTHETIC),SYNTHETIC
R031,participants:P1,Early Childhood Education participants,participants,2025-04,111.43,,HISTORY (SYNTHETIC),SYNTHETIC
R032,participants:P1,Early Childhood Education participants,participants,2025-05,116.27,,HISTORY (SYNTHETIC),SYNTHETIC
R033,participants:P1,Early Childhood Education participants,participants,2025-06,112.9,,HISTORY (SYNTHETIC),SYNTHETIC
R034,participants:P1,Early Childhood Education participants,participants,2025-07,112.74,,HISTORY (SYNTHETIC),SYNTHETIC
R035,participants:P1,Early Childhood Education participants,participants,2025-08,112.51,,HISTORY (SYNTHETIC),SYNTHETIC
R036,participants:P1,Early Childhood Education participants,participants,2025-09,121.58,,HISTORY (SYNTHETIC),SYNTHETIC
R037,participants:P1,Early Childhood Education participants,participants,2025-10,116.84,,HISTORY (SYNTHETIC),SYNTHETIC
R038,participants:P1,Early Childhood Education participants,participants,2025-11,114.95,,HISTORY (SYNTHETIC),SYNTHETIC
R039,participants:P1,Early Childhood Education participants,participants,2025-12,118.43,,HISTORY (SYNTHETIC),SYNTHETIC
R040,participants:P1,Early Childhood Education participants,participants,2026-01,125.38,,HISTORY (SYNTHETIC),SYNTHETIC
R041,participants:P1,Early Childhood Education participants,participants,2026-02,117.55,,HISTORY (SYNTHETIC),SYNTHETIC
R042,participants:P1,Early Childhood Education participants,participants,2026-03,116.56,,HISTORY (SYNTHETIC),SYNTHETIC
R043,participants:P1,Early Childhood Education participants,participants,2026-04,114.19,,HISTORY (SYNTHETIC),SYNTHETIC
R044,participants:P1,Early Childhood Education participants,participants,2026-05,114.38,,HISTORY (SYNTHETIC),SYNTHETIC
R045,participants:P1,Early Childhood Education participants,participants,2026-06,121.37,,HISTORY (SYNTHETIC),SYNTHETIC
R046,participants:P1,Early Childhood Education participants,participants,2026-07,123.33,,HISTORY (SYNTHETIC),SYNTHETIC
R047,participants:P1,Early Childhood Education participants,participants,2026-08,112.94,,HISTORY (SYNTHETIC),SYNTHETIC
R048,participants:P1,Early Childhood Education participants,participants,2026-09,134.89,,HISTORY (SYNTHETIC),SYNTHETIC
R049,participants:P1,Early Childhood Education participants,participants,2026-10,,121.5,MODEL ESTIMATE,MODEL ESTIMATE
R050,participants:P1,Early Childhood Education participants,participants,2026-11,,123.59,MODEL ESTIMATE,MODEL ESTIMATE
R051,participants:P1,Early Childhood Education participants,participants,2026-12,,121.31,MODEL ESTIMATE,MODEL ESTIMATE
R052,participants:P1,Early Childhood Education participants,participants,2027-01,,128.92,MODEL ESTIMATE,MODEL ESTIMATE
R053,participants:P1,Early Childhood Education participants,participants,2027-02,,124.5,MODEL ESTIMATE,MODEL ESTIMATE
R054,participants:P1,Early Childhood Education participants,participants,2027-03,,124.07,MODEL ESTIMATE,MODEL ESTIMATE
R055,participants:P1,Early Childhood Education participants,participants,2027-04,,124.36,MODEL ESTIMATE,MODEL ESTIMATE
R056,participants:P1,Early Childhood Education participants,participants,2027-05,,126.36,MODEL ESTIMATE,MODEL ESTIMATE
R057,participants:P1,Early Childhood Education participants,participants,2027-06,,123.85,MODEL ESTIMATE,MODEL ESTIMATE
R058,participants:P1,Early Childhood Education participants,participants,2027-07,,126.13,MODEL ESTIMATE,MODEL ESTIMATE
R059,participants:P1,Early Childhood Education participants,participants,2027-08,,126.16,MODEL ESTIMATE,MODEL ESTIMATE
R060,participants:P1,Early Childhood Education participants,participants,2027-09,,134.4,MODEL ESTIMATE,MODEL ESTIMATE
R061,participants:P2,Youth & Teen Programs participants,participants,2022-10,320.39,,HISTORY (SYNTHETIC),SYNTHETIC
R062,participants:P2,Youth & Teen Programs participants,participants,2022-11,304.78,,HISTORY (SYNTHETIC),SYNTHETIC
R063,participants:P2,Youth & Teen Programs participants,participants,2022-12,309.44,,HISTORY (SYNTHETIC),SYNTHETIC
