row_id,month,expected_collections,cumulative_expected,run_rate_annualized,value_class
R001,2026-10,0.0,0.0,540000.0,SYNTHETIC
R002,2026-11,0.0,0.0,540000.0,SYNTHETIC
R003,2026-12,170000.0,170000.0,540000.0,SYNTHETIC
R004,2027-01,0.0,170000.0,540000.0,SYNTHETIC
R005,2027-02,0.0,170000.0,540000.0,SYNTHETIC
R006,2027-03,90000.0,260000.0,540000.0,SYNTHETIC
R007,2027-04,0.0,260000.0,540000.0,SYNTHETIC
R008,2027-05,0.0,260000.0,540000.0,SYNTHETIC
R009,2027-06,190000.0,450000.0,540000.0,SYNTHETIC
R010,2027-07,0.0,450000.0,540000.0,SYNTHETIC
R011,2027-08,0.0,450000.0,540000.0,SYNTHETIC
R012,2027-09,0.0,450000.0,540000.0,SYNTHETIC
R013,2027-10,0.0,450000.0,540000.0,SYNTHETIC
R014,2027-11,0.0,450000.0,540000.0,SYNTHETIC
R015,2027-12,225000.0,675000.0,540000.0,SYNTHETIC
R016,2028-01,0.0,675000.0,540000.0,SYNTHETIC
