row_id,item_id,ticker,company,year_label,return_pct,basis,source,url,date_verified,confidence,note,value_class
R001,RR-1,WELL,Welltower,2017,0.22,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R002,RR-2,WELL,Welltower,2018,15.31,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R003,RR-3,WELL,Welltower,2019,23.04,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R004,RR-4,WELL,Welltower,2020,-17.19,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R005,RR-5,WELL,Welltower,2021,36.98,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R006,RR-6,WELL,Welltower,2022,-21.17,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R007,RR-7,WELL,Welltower,2023,41.79,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R008,RR-8,WELL,Welltower,2024,43.07,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R009,RR-9,WELL,Welltower,2025,48.8,PUBLIC_RESEARCH (MARKET DATA),web search 2026-09-17 (financecharts.com per-ticker performance pages),https://www.financecharts.com/stocks/WELL/performance,2026-09-17,MEDIUM,calendar-year total return incl. reinvested dividends,PUBLIC_RESEARCH
R010,RR-10,WELL,Welltower,2026 YTD,28.45,PUBLIC_RESEARCH (MARKET DATA),"web search 2026-09-17 (gainify.io REIT roundup + press, ~mid-September quotes)",https://www.gainify.io/blog/reit-stocks,2026-09-17,MEDIUM,"YTD through approximately mid-September 2026, per the owner's page and press quotes - moves daily",PUBLIC_RESEARCH
