company_id,entity_id,period_id,statement_type,source_system,source_account_code,source_account_name,amount_local,local_currency,fx_rate_to_reporting,amount_reporting,reporting_currency,scenario,source_file,source_sheet,source_row,source_note,load_id,load_timestamp
COMP001,ENT_PARENT,FY2024,IS,NETSUITE,4000,Revenue,900,USD,1.0,900,USD,ACTUAL,example_company_us_fy2024.xlsx,Income Statement,10,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,IS,NETSUITE,5000,Cost of Goods Sold,550,USD,1.0,550,USD,ACTUAL,example_company_us_fy2024.xlsx,Income Statement,11,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,IS,NETSUITE,6000,Operating Expenses,140,USD,1.0,140,USD,ACTUAL,example_company_us_fy2024.xlsx,Income Statement,12,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,IS,NETSUITE,6500,Depreciation & Amortization,45,USD,1.0,45,USD,ACTUAL,example_company_us_fy2024.xlsx,Income Statement,13,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,IS,NETSUITE,7000,Interest Expense,22,USD,1.0,22,USD,ACTUAL,example_company_us_fy2024.xlsx,Income Statement,14,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,IS,NETSUITE,8000,Income Tax Expense,36,USD,1.0,36,USD,ACTUAL,example_company_us_fy2024.xlsx,Income Statement,15,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,1000,Cash and Cash Equivalents,120,USD,1.0,120,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,10,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,1100,Accounts Receivable,100,USD,1.0,100,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,11,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,1200,Inventory,70,USD,1.0,70,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,12,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,1500,"Property, Plant & Equipment, Net",480,USD,1.0,480,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,13,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,2000,Accounts Payable,80,USD,1.0,80,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,14,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,2500,Long-Term Debt,320,USD,1.0,320,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,15,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,3000,Common Stock,200,USD,1.0,200,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,16,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2024,BS,NETSUITE,3500,Retained Earnings,170,USD,1.0,170,USD,ACTUAL,example_company_us_fy2024.xlsx,Balance Sheet,17,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2025,IS,NETSUITE,4000,Revenue,1000,USD,1.0,1000,USD,ACTUAL,example_company_us_fy2025.xlsx,Income Statement,10,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2025,IS,NETSUITE,5000,Cost of Goods Sold,600,USD,1.0,600,USD,ACTUAL,example_company_us_fy2025.xlsx,Income Statement,11,,L20260831-001,2026-08-31T12:00:00Z
COMP001,ENT_PARENT,FY2025,IS,NETSUITE,6000,Operating Expenses,150,USD,1.0,150,USD,ACTUAL,example_company_us_fy2025.xlsx,Income Statement,12,,L20260831-001,2026-08-31T12:00:00Z
