row_id,section,line_label,unit,fy2024,fy2025,variance,variance_pct,math_fy2025,note,value_class
R001,STATEMENT OF ACTIVITIES - REVENUE,Contributions & grants,USD,4232181.0,5067036.0,834855.0,19.7,,Part I line 8,PUBLIC_RESEARCH
R002,STATEMENT OF ACTIVITIES - REVENUE,Program service revenue,USD,7750916.0,8506012.0,755096.0,9.7,,Part I line 9,PUBLIC_RESEARCH
R003,STATEMENT OF ACTIVITIES - REVENUE,Investment income,USD,510482.0,535465.0,24983.0,4.9,,Part I line 10,PUBLIC_RESEARCH
R004,STATEMENT OF ACTIVITIES - REVENUE,Other revenue,USD,111180.0,99642.0,-11538.0,-10.4,,Part I line 11,PUBLIC_RESEARCH
R005,STATEMENT OF ACTIVITIES - REVENUE,TOTAL REVENUE,USD,12604759.0,14208155.0,1603396.0,12.7,,Part I line 12,PUBLIC_RESEARCH
R006,STATEMENT OF ACTIVITIES - EXPENSES,Program services,USD,10527119.0,11100788.0,573669.0,5.4,,Part IX line 25 col B,PUBLIC_RESEARCH
R007,STATEMENT OF ACTIVITIES - EXPENSES,Management & general,USD,1604877.0,1795483.0,190606.0,11.9,,Part IX line 25 col C,PUBLIC_RESEARCH
R008,STATEMENT OF ACTIVITIES - EXPENSES,Fundraising,USD,403094.0,643032.0,239938.0,59.5,,Part IX line 25 col D,PUBLIC_RESEARCH
R009,STATEMENT OF ACTIVITIES - EXPENSES,TOTAL EXPENSES,USD,12535090.0,13539303.0,1004213.0,8.0,,Part I line 18,PUBLIC_RESEARCH
R010,STATEMENT OF ACTIVITIES - RESULT,CHANGE IN NET ASSETS (surplus/deficit),USD,69669.0,668852.0,599183.0,860.0,,Part I line 19,PUBLIC_RESEARCH
R011,STATEMENT OF FINANCIAL POSITION - ASSETS,Cash (non-interest-bearing),USD,3110368.0,515092.0,-2595276.0,-83.4,,Part X line 1,PUBLIC_RESEARCH
R012,STATEMENT OF FINANCIAL POSITION - ASSETS,Savings & temporary investments,USD,112445.0,0.0,-112445.0,-100.0,,Part X line 2,PUBLIC_RESEARCH
R013,STATEMENT OF FINANCIAL POSITION - ASSETS,Pledges & grants receivable,USD,587384.0,542806.0,-44578.0,-7.6,,Part X line 3,PUBLIC_RESEARCH
R014,STATEMENT OF FINANCIAL POSITION - ASSETS,Investments (publicly traded),USD,14532110.0,18951917.0,4419807.0,30.4,,Part X line 11,PUBLIC_RESEARCH
