review_id,run_id,item_type,item_reference,company_id,entity_id,period_id,severity,explanation,recommended_action,related_transaction_ids,related_adjustment_ids,related_control_ids,agent_confidence,interpreter,value_class
REV-001,AGENT-RUN-001,CONTROL_EXCEPTION,C2|ENT_GMBH|FY2025|client_fs_raw.csv statement_type=CFS (absent),COMP001,ENT_GMBH,FY2025,MEDIUM,Cash moved with no cash-flow statement on file for this entity/period - the walk cannot be verified.,Request the cash flow statement for ENT_GMBH FY2025 from the client.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C4;C6;C8;C9,0.85,DETERMINISTIC_V1,MODEL_OUTPUT
REV-002,AGENT-RUN-001,CONTROL_EXCEPTION,C5|ENT_PARENT|FY2025|client_fs_raw.csv statement_type=OCI; account_mapping.csv,COMP001,ENT_PARENT,FY2025,MEDIUM,"OCI activity is reported but no AOCI balance-sheet account is mapped, so the AOCI roll cannot be tested.",Map an 'aoci' account in account_mapping.csv and request the AOCI balance from the source.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8,0.9,DETERMINISTIC_V1,MODEL_OUTPUT
REV-003,AGENT-RUN-001,CONTROL_EXCEPTION,"C6|ENT_GMBH|FY2025|client_fs_raw.csv statement_type=BS,CFS",COMP001,ENT_GMBH,FY2025,MEDIUM,Debt balance moved with no issuance/repayment activity rows to explain it.,Request the debt schedule / CFS financing section for ENT_GMBH FY2025.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C4;C6;C8;C9,0.85,DETERMINISTIC_V1,MODEL_OUTPUT
REV-004,AGENT-RUN-001,CONTROL_EXCEPTION,C9|ENT_GMBH|FY2024|translate_statements() statement_type=BS,COMP001,ENT_GMBH,FY2024,MEDIUM,"Source-vs-engine FX variance equals the CTA - the source's documented closing-rate shortcut on equity, not a data error (docs/FX_AND_CONSOLIDATION.md #4).",Reviewer sign-off; request a historical-rate equity schedule from the source system to retire the shortcut.,,,C1;C10;C8;C9,0.9,DETERMINISTIC_V1,MODEL_OUTPUT
REV-005,AGENT-RUN-001,CONTROL_EXCEPTION,C9|ENT_GMBH|FY2025|translate_statements() statement_type=BS,COMP001,ENT_GMBH,FY2025,MEDIUM,"Source-vs-engine FX variance equals the CTA - the source's documented closing-rate shortcut on equity, not a data error (docs/FX_AND_CONSOLIDATION.md #4).",Reviewer sign-off; request a historical-rate equity schedule from the source system to retire the shortcut.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C4;C6;C8;C9,0.9,DETERMINISTIC_V1,MODEL_OUTPUT
REV-006,AGENT-RUN-001,OUTLIER_FLAG,MARGIN_VARIANCE|ebit_margin|CONSOLIDATED|FY2025,COMP001,CONSOLIDATED,FY2025,MEDIUM,"Margin movement coincides with TXN-001 - could be mix shift from acquired operations, early synergies, or unrelated operating change.",Decompose the margin bridge (price / mix / cost / acquired operations) before crediting synergies.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8;C9,0.6,DETERMINISTIC_V1,MODEL_OUTPUT
REV-007,AGENT-RUN-001,OUTLIER_FLAG,MARGIN_VARIANCE|ebitda_margin|CONSOLIDATED|FY2025,COMP001,CONSOLIDATED,FY2025,MEDIUM,"Margin movement coincides with TXN-001 - could be mix shift from acquired operations, early synergies, or unrelated operating change.",Decompose the margin bridge (price / mix / cost / acquired operations) before crediting synergies.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8;C9,0.6,DETERMINISTIC_V1,MODEL_OUTPUT
REV-008,AGENT-RUN-001,OUTLIER_FLAG,NEW_ITEM|cogs|ENT_ELIM|FY2025,COMP001,ENT_ELIM,FY2025,MEDIUM,"New material activity with no prior period MAY relate to TXN-001 closing in the same period (see event narrative). Causation is not concluded. Restructuring costs from the event are already normalized by ADJ-001A, ADJ-001B, ADJ-002.",Confirm the organic vs acquired split of FY growth against the acquisition agreement before using growth rates in the forecast.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C8,0.7,DETERMINISTIC_V1,MODEL_OUTPUT
REV-009,AGENT-RUN-001,OUTLIER_FLAG,NEW_ITEM|revenue|ENT_ELIM|FY2025,COMP001,ENT_ELIM,FY2025,MEDIUM,"New material activity with no prior period MAY relate to TXN-001 closing in the same period (see event narrative). Causation is not concluded. Restructuring costs from the event are already normalized by ADJ-001A, ADJ-001B, ADJ-002.",Confirm the organic vs acquired split of FY growth against the acquisition agreement before using growth rates in the forecast.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C8,0.7,DETERMINISTIC_V1,MODEL_OUTPUT
REV-010,AGENT-RUN-001,OUTLIER_FLAG,POP_VARIANCE|cash|CONSOLIDATED|FY2025,COMP001,CONSOLIDATED,FY2025,MEDIUM,"Cash build is PARTIALLY explained: the entities with a cash-flow statement walk cleanly (C2 PASS), but ENT_GMBH has no CFS on file, so its portion is unverified.",Request the missing cash flow statement(s) for ENT_GMBH — same ask as the open C2 exception.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8;C9,0.7,DETERMINISTIC_V1,MODEL_OUTPUT
REV-011,AGENT-RUN-001,OUTLIER_FLAG,POP_VARIANCE|cash|ENT_PARENT|FY2025,COMP001,ENT_PARENT,FY2025,MEDIUM,Cash build is fully explained by the cash-flow statement (Control C2 PASS for this entity).,No action needed.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8,0.8,DETERMINISTIC_V1,MODEL_OUTPUT
REV-012,AGENT-RUN-001,OUTLIER_FLAG,POP_VARIANCE|retained_earnings|CONSOLIDATED|FY2025,COMP001,CONSOLIDATED,FY2025,HIGH,"Large retained-earnings growth, but Control C4 proves the roll ties exactly (begin + NI - dividends = end) - consistent with profit retention, likely benign.",No action needed beyond noting profit accumulation.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8;C9,0.9,DETERMINISTIC_V1,MODEL_OUTPUT
REV-013,AGENT-RUN-001,OUTLIER_FLAG,POP_VARIANCE|retained_earnings|ENT_GMBH|FY2025,COMP001,ENT_GMBH,FY2025,HIGH,"Large retained-earnings growth, but Control C4 proves the roll ties exactly (begin + NI - dividends = end) - consistent with profit retention, likely benign.",No action needed beyond noting profit accumulation.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C4;C6;C8;C9,0.9,DETERMINISTIC_V1,MODEL_OUTPUT
REV-014,AGENT-RUN-001,OUTLIER_FLAG,POP_VARIANCE|retained_earnings|ENT_PARENT|FY2025,COMP001,ENT_PARENT,FY2025,HIGH,"Large retained-earnings growth, but Control C4 proves the roll ties exactly (begin + NI - dividends = end) - consistent with profit retention, likely benign.",No action needed beyond noting profit accumulation.,TXN-001,ADJ-001A;ADJ-001B;ADJ-002,C1;C10;C2;C3;C4;C5;C6;C8,0.9,DETERMINISTIC_V1,MODEL_OUTPUT
