row_id,estimate_id,model,target,estimate,unit,management_comparison,basis,caveat,value_class
R001,ML-001,1 Program Participation Forecast,Early Childhood Education participants in 12 months,134.0,participants,current actual 120,linear trend + month-of-year on 48 months (slope +0.53/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R002,ML-002,11 Capacity Forecasting,Early Childhood Education months until capacity (140),38 months,months,utilization today 86%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R003,ML-003,1 Program Participation Forecast,Youth & Teen Programs participants in 12 months,444.0,participants,current actual 400,linear trend + month-of-year on 48 months (slope +1.68/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R004,ML-004,11 Capacity Forecasting,Youth & Teen Programs months until capacity (600),119 months,months,utilization today 67%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R005,ML-005,1 Program Participation Forecast,Senior Services participants in 12 months,279.0,participants,current actual 250,linear trend + month-of-year on 48 months (slope +0.99/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R006,ML-006,11 Capacity Forecasting,Senior Services months until capacity (300),51 months,months,utilization today 83%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R007,ML-007,1 Program Participation Forecast,Fitness & Wellness participants in 12 months,984.0,participants,current actual 900,linear trend + month-of-year on 48 months (slope +3.44/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R008,ML-008,11 Capacity Forecasting,Fitness & Wellness months until capacity (1100),58 months,months,utilization today 82%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R009,ML-009,1 Program Participation Forecast,Cultural Arts participants in 12 months,337.0,participants,current actual 300,linear trend + month-of-year on 48 months (slope +1.26/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R010,ML-010,11 Capacity Forecasting,Cultural Arts months until capacity (450),119 months,months,utilization today 67%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R011,ML-011,1 Program Participation Forecast,Community Events participants in 12 months,1664.0,participants,current actual 1500,linear trend + month-of-year on 48 months (slope +6.26/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R012,ML-012,11 Capacity Forecasting,Community Events months until capacity (2500),160 months,months,utilization today 60%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R013,ML-013,1 Program Participation Forecast,Family Services participants in 12 months,197.0,participants,current actual 180,linear trend + month-of-year on 48 months (slope +0.60/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R014,ML-014,11 Capacity Forecasting,Family Services months until capacity (220),66 months,months,utilization today 82%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R015,ML-015,1 Program Participation Forecast,Adult Education participants in 12 months,97.0,participants,current actual 90,linear trend + month-of-year on 48 months (slope +0.33/month),Trained on SYNTHETIC history; retrain at cutover,MODEL ESTIMATE
R016,ML-016,11 Capacity Forecasting,Adult Education months until capacity (200),338 months,months,utilization today 45%,capacity minus current participants over the modeled monthly slope,Linear extrapolation only - demand shifts break it,MODEL ESTIMATE
R017,ML-017,4 Program Cost Forecast,Early Childhood Education annual cost next 12 months,1212437.0,USD,"current annual cost 1,200,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R018,ML-018,4 Program Cost Forecast,Youth & Teen Programs annual cost next 12 months,648382.0,USD,"current annual cost 640,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R019,ML-019,4 Program Cost Forecast,Senior Services annual cost next 12 months,508487.0,USD,"current annual cost 500,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R020,ML-020,4 Program Cost Forecast,Fitness & Wellness annual cost next 12 months,957363.0,USD,"current annual cost 950,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R021,ML-021,4 Program Cost Forecast,Cultural Arts annual cost next 12 months,430137.0,USD,"current annual cost 420,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R022,ML-022,4 Program Cost Forecast,Community Events annual cost next 12 months,384385.0,USD,"current annual cost 380,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R023,ML-023,4 Program Cost Forecast,Family Services annual cost next 12 months,620281.0,USD,"current annual cost 610,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R024,ML-024,4 Program Cost Forecast,Adult Education annual cost next 12 months,302635.0,USD,"current annual cost 300,000",linear trend + seasonality on 48 months,"Cost drivers (headcount, vendors) are not modeled separately yet",MODEL ESTIMATE
R025,ML-025,2 Donation Forecast,Unrestricted donations next 12 months,1291415.0,USD,management plan lives in nfp_settings (org_campaign_other_revenue),linear trend + month-of-year on 48 months; December seasonality learned from history,One-off campaigns are exactly what this misses - see the anomaly model,MODEL ESTIMATE
R026,ML-026,5 Cash Flow Forecast,Net operating cash next 12 months,95019.0,USD,deterministic BASE scenario gap on tab 9,linear trend + month-of-year on 48 months,Excludes campaign/project cash - those live on tab 11,MODEL ESTIMATE
R027,ML-027,7 Scenario Probability,P(BASE) from history,0.583,probability,deterministic scenarios carry no probabilities (management judgment),frequency of net-cash residual regimes over 48 months,"Backward-looking frequencies, not forward guarantees",MODEL ESTIMATE
R028,ML-028,7 Scenario Probability,P(UPSIDE) from history,0.208,probability,deterministic scenarios carry no probabilities (management judgment),frequency of net-cash residual regimes over 48 months,"Backward-looking frequencies, not forward guarantees",MODEL ESTIMATE
R029,ML-029,7 Scenario Probability,P(DOWNSIDE) from history,0.208,probability,deterministic scenarios carry no probabilities (management judgment),frequency of net-cash residual regimes over 48 months,"Backward-looking frequencies, not forward guarantees",MODEL ESTIMATE
R030,ML-030,7 Scenario Probability,P(STRESS) from history,0.0,probability,deterministic scenarios carry no probabilities (management judgment),frequency of net-cash residual regimes over 48 months,"Backward-looking frequencies, not forward guarantees",MODEL ESTIMATE
